drug1,drug2,enzyme_overlap,target_overlap,pathway_overlap,transporter_overlap,side_effect_overlap,interaction,risk_score,severity
Isradipine,Vildagliptin,None,None,None,P-glycoprotein (P-gp),Headache,1,0.2305,LOW
Erythromycin,Doxepin,None,None,None,P-glycoprotein (P-gp),QTc prolongation,1,0.2691,MEDIUM
Lacosamide,Nortriptyline,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Metformin,Fludrocortisone,None,None,None,None,None,0,0.0517,LOW
Olmesartan,Ritonavir,None,None,None,None,None,0,0.0601,LOW
Zonisamide,Prednisone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5438,HIGH
Ofloxacin,Pamidronate,None,None,None,None,None,0,0.0788,LOW
Ofloxacin,Alogliptin,None,None,None,None,None,0,0.0645,LOW
Nimodipine,Empagliflozin,None,None,None,P-glycoprotein (P-gp),None,1,0.1064,LOW
Dexlansoprazole,Vilanterol,None,None,None,None,None,0,0.0237,LOW
Delafloxacin,Carbamazepine,None,None,None,None,None,0,0.0606,LOW
Phenytoin,Clomipramine,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Almotriptan,Diazepam,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Esmolol,Temazepam,None,None,None,P-glycoprotein (P-gp),None,0,0.1156,LOW
Glipizide,Clonazepam,None,None,None,None,None,0,0.0778,LOW
Tolbutamide,Triazolam,None,None,None,None,None,0,0.0369,LOW
Fluvastatin,Olmesartan,CYP3A4,None,None,OATP1B1;BCRP,None,1,0.4781,MEDIUM
Rizatriptan,Brexpiprazole,CYP1A2,None,None,P-glycoprotein (P-gp),None,1,0.4566,MEDIUM
Fluvoxamine,Albuterol,None,None,None,None,None,0,0.0105,LOW
Nisoldipine,Empagliflozin,None,None,None,P-glycoprotein (P-gp),None,0,0.149,LOW
Silodosin,Hydrocortisone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4738,MEDIUM
Olmesartan,Brexpiprazole,CYP3A4,None,None,None,None,1,0.3517,MEDIUM
Diazepam,Midazolam,UGT1A4;CYP2C19;CYP3A4,GABA-A receptor (alpha-1/2/3/5 subunits),GABAergic neurotransmission pathway,P-glycoprotein (P-gp),Tolerance;Respiratory depression;Dependence;Anterograde amnesia;Sedation,1,1.0,CRITICAL
Amlodipine,Cariprazine,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4684,MEDIUM
Sertraline,Phenytoin,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.4765,MEDIUM
Amlodipine,Glimepiride,None,None,None,None,None,0,0.0752,LOW
Fidaxomicin,Lopinavir,None,None,None,P-glycoprotein (P-gp),Hepatotoxicity,1,0.2172,LOW
Norfloxacin,Indomethacin,None,None,None,OAT3,None,0,0.1011,LOW
Eletriptan,Saxagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Gliclazide,Famotidine,None,None,None,None,None,0,0.0115,LOW
Rabeprazole,Canagliflozin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Esomeprazole,Naratriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1182,LOW
Diltiazem,Cariprazine,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4651,MEDIUM
Rosuvastatin,Saquinavir,None,None,None,None,None,0,0.0577,LOW
Ramipril,Darunavir,None,None,None,None,None,0,0.0474,LOW
Propranolol,Nicardipine,None,None,None,P-glycoprotein (P-gp),None,0,0.1197,LOW
Nabumetone,Posaconazole,None,None,None,None,None,0,0.0663,LOW
Doxepin,Lixisenatide,None,None,None,None,None,0,0.0617,LOW
Timolol,Nortriptyline,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.5215,HIGH
Piroxicam,Famotidine,None,None,None,None,None,0,0.0386,LOW
Carvedilol,Clonazepam,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Metformin,Olmesartan,None,None,None,None,None,0,0.0607,LOW
Torsemide,Vildagliptin,None,None,None,None,None,0,0.0348,LOW
Posaconazole,Silodosin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Fluvoxamine,Triazolam,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.5374,HIGH
Atenolol,Doxazosin,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.4939,MEDIUM
Diazepam,Exenatide,None,None,None,None,None,0,0.0191,LOW
Amlodipine,Ibandronate,None,None,None,None,None,0,0.0579,LOW
Canagliflozin,Prednisone,None,None,None,P-glycoprotein (P-gp),None,1,0.1331,LOW
Fidaxomicin,Zolmitriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1043,LOW
Zolmitriptan,Ziprasidone,CYP1A2,None,None,P-glycoprotein (P-gp),None,1,0.5224,HIGH
Zonisamide,Topiramate,CYP2C9;CYP2C19;CYP3A4,Voltage-gated sodium channel (SCN1A/SCN5A),Neuronal excitability pathway,P-glycoprotein (P-gp),Dizziness;Nystagmus;Leucopenia;Stevens-Johnson syndrome;Ataxia,1,1.0,CRITICAL
Nicardipine,Furosemide,None,None,None,None,None,0,0.0681,LOW
Eprosartan,Warfarin,CYP2C9;CYP3A4,None,None,BCRP,None,1,0.5975,HIGH
Eprosartan,Sotagliflozin,None,None,None,BCRP,None,0,0.1,LOW
Meloxicam,Rivaroxaban,CYP2C9,None,None,None,None,1,0.3529,MEDIUM
Indinavir,Tamsulosin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Alfuzosin,Linagliptin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Benazepril,Delafloxacin,None,None,None,None,None,0,0.0176,LOW
Darunavir,Ziprasidone,None,None,None,P-glycoprotein (P-gp),None,1,0.1405,LOW
Piroxicam,Lurasidone,None,None,None,None,None,0,0.0453,LOW
Esmolol,Torsemide,None,None,None,None,None,0,0.0351,LOW
Trandolapril,Doxepin,None,None,None,None,None,0,0.0235,LOW
Celecoxib,Ranitidine,None,None,None,None,None,0,0.0676,LOW
Valproate,Clomipramine,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Nortriptyline,Brexpiprazole,CYP2D6;CYP1A2,None,None,P-glycoprotein (P-gp),QTc prolongation;Sedation,1,0.7401,HIGH
Warfarin,Cimetidine,None,None,None,None,None,0,0.0224,LOW
Metformin,Olodaterol,None,None,None,OCT1,None,0,0.1269,LOW
Fluvastatin,Clozapine,CYP3A4,None,None,None,None,1,0.3842,MEDIUM
Canagliflozin,Sotagliflozin,UGT2B7;UGT1A9,Sodium-glucose cotransporter 2 (SGLT2 / SLC5A2),Renal glucose reabsorption pathway,P-glycoprotein (P-gp);BCRP,Euglycemic diabetic ketoacidosis;Genitourinary tract infections;Polyuria,1,1.0,CRITICAL
Itraconazole,Erythromycin,CYP3A4 (inhibitor),None,None,P-glycoprotein (P-gp),QTc prolongation;Hepatotoxicity,1,0.6217,HIGH
Lorazepam,Lurasidone,CYP3A4,None,None,P-glycoprotein (P-gp),Sedation,1,0.6109,HIGH
Enalapril,Isradipine,None,None,None,None,None,0,0.0661,LOW
Delafloxacin,Chlordiazepoxide,None,None,None,None,None,0,0.0614,LOW
Edoxaban,Hydrochlorothiazide,None,None,None,None,None,0,0.0546,LOW
Posaconazole,Midazolam,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Fluoxetine,Moxifloxacin,None,None,None,None,None,0,0.0668,LOW
Warfarin,Tipranavir,None,None,None,P-glycoprotein (P-gp),None,1,0.1315,LOW
Lovastatin,Moexipril,None,None,None,None,None,0,0.0759,LOW
Zoledronic acid,Amitriptyline,None,None,None,None,None,0,0.0771,LOW
Lovastatin,Diclofenac,None,None,None,None,None,0,0.0116,LOW
Nifedipine,Glimepiride,None,None,None,None,None,0,0.053,LOW
Enalapril,Budesonide,None,None,None,None,None,0,0.0611,LOW
Pitavastatin,Fluconazole,None,None,None,None,None,0,0.0175,LOW
Fluvoxamine,Erythromycin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Ketoconazole,Cimetidine,None,None,None,None,None,0,0.0344,LOW
Gemifloxacin,Valsartan,None,None,None,None,None,0,0.0461,LOW
Lisinopril,Doxepin,None,None,None,None,None,0,0.0231,LOW
Indomethacin,Sotagliflozin,None,None,None,None,None,0,0.0372,LOW
Voriconazole,Indapamide,None,None,None,None,None,0,0.0752,LOW
Pitavastatin,Clevidipine,CYP3A4,None,None,None,Headache,1,0.5242,HIGH
Timolol,Fluvoxamine,CYP2D6,None,None,P-glycoprotein (P-gp),Insomnia,1,0.6811,HIGH
Meloxicam,Piroxicam,CYP2C9;CYP2C8,Cyclooxygenase-2 (COX-2);Cyclooxygenase-1 (COX-1),Arachidonic acid metabolism / Prostaglandin synthesis,OAT1;OAT3,Fluid retention;Gastric ulceration;Cardiovascular risk;Nephrotoxicity,1,0.9819,CRITICAL
Nicardipine,Fondaparinux,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5169,HIGH
Norfloxacin,Budesonide,None,None,None,None,None,0,0.041,LOW
Nebivolol,Clozapine,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.5173,HIGH
Zoledronic acid,Silodosin,None,None,None,None,None,0,0.0243,LOW
Itraconazole,Cariprazine,None,None,None,P-glycoprotein (P-gp),QTc prolongation,0,0.2036,LOW
Piroxicam,Edoxaban,CYP2C9,None,None,None,None,1,0.4309,MEDIUM
Etidronate,Saxagliptin,None,None,None,None,None,0,0.0476,LOW
Candethartan,Edoxaban,CYP2C9;CYP3A4,None,None,BCRP,None,1,0.5793,HIGH
Omeprazole,Losartan,CYP3A4,None,None,None,None,1,0.3661,MEDIUM
Linagliptin,Semaglutide,None,None,None,None,None,0,0.0531,LOW
Captopril,Albuterol,None,None,None,None,None,0,0.046,LOW
Paroxetine,Delafloxacin,None,None,None,None,None,0,0.0132,LOW
Fluconazole,Prednisone,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Sertraline,Brexpiprazole,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.5186,HIGH
Almotriptan,Triazolam,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Fosinopril,Famotidine,None,None,None,None,None,0,0.0684,LOW
Valproate,Lixisenatide,None,None,None,None,None,0,0.0378,LOW
Pravastatin,Ranitidine,None,None,None,None,Headache,1,0.1779,LOW
Quinapril,Fosinopril,Not significantly metabolized by CYP (renal elimination),Angiotensin-converting enzyme (ACE),Renin-angiotensin-aldosterone system (RAAS),PEPT2;PEPT1,Hyperkalemia;Hypotension;Angioedema;Dry cough,1,0.9983,CRITICAL
Pantoprazole,Cariprazine,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.48,MEDIUM
Pitavastatin,Apixaban,CYP3A4,None,None,BCRP,None,1,0.4554,MEDIUM
Metformin,Ibandronate,Not metabolized,None,None,None,None,1,0.386,MEDIUM
Pamidronate,Lorazepam,None,None,None,None,None,0,0.0527,LOW
Benazepril,Tamsulosin,None,None,None,None,None,0,0.0784,LOW
Canagliflozin,Indinavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Pantoprazole,Eprosartan,CYP3A4,None,None,None,None,1,0.4466,MEDIUM
Protriptyline,Semaglutide,None,None,None,None,None,0,0.0428,LOW
Pravastatin,Midazolam,CYP3A4,None,None,None,None,1,0.3599,MEDIUM
Ciprofloxacin,Erythromycin,None,None,None,None,QTc prolongation,0,0.1756,LOW
Glipizide,Celecoxib,CYP2C9,None,None,None,None,1,0.3982,MEDIUM
Etidronate,Brexpiprazole,None,None,None,None,None,0,0.0753,LOW
Isavuconazole,Naratriptan,None,None,None,P-glycoprotein (P-gp),None,1,0.1083,LOW
Protriptyline,Paliperidone,CYP2D6;CYP1A2,None,None,P-glycoprotein (P-gp),QTc prolongation;Sedation,1,0.6959,HIGH
Risedronate,Temazepam,None,None,None,None,None,0,0.071,LOW
Lurasidone,Lixisenatide,None,None,None,None,None,0,0.0684,LOW
Moexipril,Chlordiazepoxide,None,None,None,None,None,0,0.0724,LOW
Meloxicam,Zoledronic acid,None,None,None,None,None,0,0.0602,LOW
Ertugliflozin,Amitriptyline,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Benazepril,Valproate,None,None,None,None,None,0,0.0327,LOW
Fondaparinux,Alprazolam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5103,HIGH
Gemifloxacin,Nortriptyline,None,None,None,None,QTc prolongation,1,0.1223,LOW
Isradipine,Nortriptyline,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Diltiazem,Nelfinavir,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Metoprolol,Darunavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Diltiazem,Alogliptin,None,None,None,P-glycoprotein (P-gp),Headache,1,0.2453,LOW
Lansoprazole,Telmisartan,CYP3A4,None,None,None,None,1,0.3769,MEDIUM
Irbesartan,Triamcinolone,CYP3A4,None,None,None,None,1,0.416,MEDIUM
Eletriptan,Triazolam,None,None,None,P-glycoprotein (P-gp),None,1,0.1022,LOW
Enalapril,Omeprazole,None,None,None,None,None,0,0.0754,LOW
Edoxaban,Metolazone,None,None,None,None,None,0,0.0105,LOW
Escitalopram,Olodaterol,None,None,None,None,None,0,0.073,LOW
Terazosin,Ranitidine,None,None,None,None,Dizziness,1,0.1063,LOW
Methylprednisolone,Vildagliptin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Moexipril,Naproxen,None,None,None,None,None,0,0.0753,LOW
Amlodipine,Furosemide,None,None,None,None,None,0,0.0126,LOW
Amlodipine,Sumatriptan,None,None,None,P-glycoprotein (P-gp),Dizziness;Flushing,0,0.241,LOW
Captopril,Darunavir,None,None,None,None,None,0,0.0226,LOW
Ibandronate,Vilanterol,None,None,None,None,None,0,0.0382,LOW
Risedronate,Topiramate,None,None,None,None,None,0,0.0332,LOW
Sertraline,Ketoconazole,None,None,None,P-glycoprotein (P-gp),Nausea,0,0.2908,MEDIUM
Amlodipine,Fidaxomicin,None,None,None,P-glycoprotein (P-gp),None,0,0.1229,LOW
Ciprofloxacin,Clonazepam,None,None,None,None,None,0,0.0322,LOW
Ibandronate,Quetiapine,None,None,None,None,None,0,0.0345,LOW
Delafloxacin,Tipranavir,None,None,None,None,None,0,0.0209,LOW
Clonazepam,Lurasidone,CYP3A4,None,None,P-glycoprotein (P-gp),Sedation,1,0.6497,HIGH
Atenolol,Pamidronate,None,None,None,None,None,0,0.0158,LOW
Atorvastatin,Rosuvastatin,CYP3A4,HMG-CoA reductase (HMGCR),Cholesterol biosynthesis pathway,OATP1B1;BCRP,Increased liver enzymes;Myalgia;Rhabdomyolysis;Headache,1,1.0,CRITICAL
Gliclazide,Olmesartan,CYP2C9,None,None,OATP1B1,None,1,0.5247,HIGH
Prednisone,Imipramine,None,None,None,P-glycoprotein (P-gp),Weight gain,1,0.2367,LOW
Dexlansoprazole,Propranolol,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Aripiprazole,Indapamide,None,None,None,None,None,0,0.031,LOW
Brexpiprazole,Linagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1107,LOW
Atazanavir,Topiramate,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Esmolol,Fondaparinux,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Perindopril,Amitriptyline,None,None,None,None,None,0,0.0542,LOW
Valsartan,Oxcarbazepine,CYP2C9;CYP3A4,None,None,None,Dizziness,1,0.6126,HIGH
Fluconazole,Indacaterol,None,None,None,None,None,0,0.0544,LOW
Ibuprofen,Phenytoin,CYP2C9,None,None,None,None,1,0.4191,MEDIUM
Doxepin,Vildagliptin,None,None,None,P-glycoprotein (P-gp),None,1,0.1261,LOW
Furosemide,Indapamide,Not significantly metabolized,Na-Cl cotransporter (NCC);Na-K-2Cl cotransporter (NKCC2),Renal electrolyte handling pathway,OAT1;OAT3;OAT4,Ototoxicity (loops);Hyponatremia;Hypokalemia;Hyperuricemia;Dehydration,1,0.9589,CRITICAL
Metoprolol,Propranolol,CYP2D6,Beta-1 adrenergic receptor;Beta-2 adrenergic receptor,Adrenergic signaling pathway,P-glycoprotein (P-gp),Bronchospasm;Bradycardia;Cold extremities;Insomnia;Fatigue,1,0.9432,CRITICAL
Atazanavir,Hydrocortisone,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Enalapril,Alprazolam,None,None,None,None,None,0,0.0137,LOW
Indomethacin,Ranitidine,None,None,None,None,None,0,0.0773,LOW
Chlordiazepoxide,Torsemide,None,None,None,None,None,0,0.073,LOW
Diclofenac,Sumatriptan,None,None,None,None,None,0,0.0783,LOW
Carbamazepine,Sitagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1288,LOW
Chlorpropamide,Olmesartan,CYP2C9,None,None,OATP1B1,None,1,0.5144,HIGH
Fondaparinux,Olanzapine,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5495,HIGH
Warfarin,Nizatidine,None,None,None,None,None,0,0.0527,LOW
Glipizide,Topiramate,CYP2C9,None,None,None,None,1,0.4434,MEDIUM
Nabumetone,Alogliptin,None,None,None,None,None,0,0.0303,LOW
Nisoldipine,Clozapine,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5236,HIGH
Hydrocortisone,Clomipramine,None,None,None,P-glycoprotein (P-gp),Weight gain,1,0.2576,MEDIUM
Rivaroxaban,Phenytoin,CYP2C9;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5503,HIGH
Phenytoin,Bumetanide,None,None,None,None,None,0,0.0799,LOW
Dapagliflozin,Saquinavir,None,None,None,P-glycoprotein (P-gp),None,1,0.1258,LOW
Timolol,Almotriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Saquinavir,Olodaterol,None,None,None,None,None,0,0.0675,LOW
Diazepam,Ziprasidone,CYP3A4,None,None,P-glycoprotein (P-gp),Sedation,1,0.6907,HIGH
Nizatidine,Torsemide,None,None,None,None,None,0,0.0727,LOW
Metoprolol,Nebivolol,CYP2D6,Beta-1 adrenergic receptor;Beta-2 adrenergic receptor,Adrenergic signaling pathway,P-glycoprotein (P-gp),Bronchospasm;Bradycardia;Cold extremities;Insomnia;Fatigue,1,0.9402,CRITICAL
Pravastatin,Celecoxib,None,None,None,None,None,0,0.0595,LOW
Nadolol,Alprazolam,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Telithromycin,Naratriptan,None,None,None,P-glycoprotein (P-gp),None,1,0.1096,LOW
Ertugliflozin,Sumatriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1202,LOW
Citalopram,Levalbuterol,None,None,None,None,None,0,0.0564,LOW
Moxifloxacin,Valsartan,None,None,None,None,None,0,0.0176,LOW
Rosuvastatin,Fluoxetine,None,None,None,None,None,0,0.0251,LOW
Erythromycin,Brexpiprazole,None,None,None,P-glycoprotein (P-gp),QTc prolongation,0,0.2998,MEDIUM
Doxepin,Saxagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Nebivolol,Nimodipine,None,None,None,P-glycoprotein (P-gp),None,1,0.1398,LOW
Escitalopram,Protriptyline,CYP2D6,Serotonin transporter (SERT),None,P-glycoprotein (P-gp),None,1,0.6334,HIGH
Ketorolac,Itraconazole,None,None,None,None,None,0,0.0293,LOW
Telithromycin,Clomipramine,None,None,None,P-glycoprotein (P-gp),QTc prolongation,0,0.2897,MEDIUM
Bisoprolol,Prazosin,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.536,HIGH
Propranolol,Posaconazole,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Fosinopril,Valsartan,None,None,Renin-angiotensin-aldosterone system (RAAS),None,Hyperkalemia;Hypotension,1,0.327,MEDIUM
Propranolol,Atazanavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1247,LOW
Nicardipine,Protriptyline,None,None,None,P-glycoprotein (P-gp),None,0,0.1467,LOW
Metformin,Valproate,None,None,None,None,None,0,0.0335,LOW
Propranolol,Vildagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.111,LOW
Nisoldipine,Famotidine,None,None,None,None,Dizziness;Headache,0,0.193,LOW
Edoxaban,Nortriptyline,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Azithromycin,Clozapine,None,None,None,P-glycoprotein (P-gp),QTc prolongation,0,0.2597,MEDIUM
Nadolol,Citalopram,CYP2D6,None,None,P-glycoprotein (P-gp),Insomnia,1,0.6541,HIGH
Telmisartan,Carbamazepine,CYP2C9;CYP3A4,None,None,None,Dizziness,1,0.6318,HIGH
Terazosin,Quetiapine,CYP2D6;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5843,HIGH
Budesonide,Olanzapine,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5402,HIGH
Pantoprazole,Methylprednisolone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4884,MEDIUM
Glimepiride,Saquinavir,None,None,None,None,None,0,0.0684,LOW
Paroxetine,Nortriptyline,CYP2D6,Serotonin transporter (SERT),None,P-glycoprotein (P-gp),None,1,0.5799,HIGH
Nimodipine,Darunavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1001,LOW
Perindopril,Nicardipine,None,None,None,None,None,0,0.0351,LOW
Zonisamide,Vildagliptin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Lovastatin,Labetalol,None,None,None,None,None,0,0.0282,LOW
Diltiazem,Clonazepam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5182,HIGH
Trandolapril,Itraconazole,None,None,None,None,None,0,0.034,LOW
Quinapril,Metolazone,None,None,None,None,None,0,0.043,LOW
Nisoldipine,Ertugliflozin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Irbesartan,Rizatriptan,None,None,None,None,Dizziness,1,0.1062,LOW
Fluvoxamine,Carbamazepine,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.4653,MEDIUM
Levofloxacin,Ofloxacin,CYP1A2 (inhibitor),DNA gyrase;Topoisomerase IV,Bacterial DNA replication,OAT3;MATE1,QTc prolongation;Tendon rupture;Dysglycemia;Aortic aneurysm risk,1,0.9192,CRITICAL
Lisinopril,Lurasidone,None,None,None,None,None,0,0.0257,LOW
Nadolol,Risperidone,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.5485,HIGH
Tolbutamide,Oxazepam,None,None,None,None,None,0,0.0731,LOW
Lisinopril,Desipramine,None,None,None,None,None,0,0.0777,LOW
Salmeterol,Protriptyline,None,None,None,None,None,0,0.0375,LOW
Edoxaban,Almotriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1387,LOW
Benazepril,Quinapril,Not significantly metabolized by CYP (renal elimination),Angiotensin-converting enzyme (ACE),Renin-angiotensin-aldosterone system (RAAS),PEPT2;PEPT1,Hyperkalemia;Hypotension;Angioedema;Dry cough,1,0.9173,CRITICAL
Eletriptan,Chlorthalidone,None,None,None,None,None,0,0.0107,LOW
Nelfinavir,Lorazepam,None,None,None,P-glycoprotein (P-gp),None,0,0.1334,LOW
Risedronate,Olodaterol,None,None,None,None,None,0,0.0484,LOW
Benazepril,Triamcinolone,None,None,None,None,None,0,0.0456,LOW
Aripiprazole,Liraglutide,None,None,None,None,None,0,0.0552,LOW
Azilsartan,Doxazosin,CYP3A4,None,None,None,Dizziness,1,0.5483,HIGH
Lopinavir,Semaglutide,None,None,None,None,None,0,0.0443,LOW
Ketorolac,Canagliflozin,None,None,None,None,None,0,0.0285,LOW
Itraconazole,Frovatriptan,None,None,None,P-glycoprotein (P-gp),None,1,0.1362,LOW
Triamcinolone,Indapamide,None,None,None,None,None,0,0.0669,LOW
Rizatriptan,Chlordiazepoxide,None,None,None,P-glycoprotein (P-gp),None,0,0.1044,LOW
Quinapril,Propranolol,None,None,None,None,None,0,0.0415,LOW
Moexipril,Triazolam,None,None,None,None,None,0,0.0372,LOW
Metoprolol,Saquinavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1096,LOW
Pantoprazole,Exenatide,None,None,None,None,None,0,0.018,LOW
Sertraline,Saquinavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Fluconazole,Doxepin,None,None,None,P-glycoprotein (P-gp),QTc prolongation,1,0.2041,LOW
Pravastatin,Telithromycin,None,None,None,None,None,0,0.0174,LOW
Fluoxetine,Liraglutide,None,None,None,None,Nausea,0,0.1622,LOW
Sertraline,Posaconazole,None,None,None,P-glycoprotein (P-gp),Nausea,0,0.2414,LOW
Gliclazide,Lacosamide,CYP2C9,None,None,None,None,1,0.396,MEDIUM
Moxifloxacin,Azilsartan,None,None,None,None,None,0,0.0194,LOW
